date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,acq_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms,acq_local
2025-06-29,2025-07-01,0.053391,0.003590,0.076326,0.081538,0.011120,0.145394,-2.341595,-5.439548,-0.069068,0.031456,0.002010,5,10,2025-06-16,2025-07-01,2025-04-27,2025-06-11,1751328000000,1751195461000,1750032000000,1751328000000,1745712000000,1749600000000,2025-06-29
2025-07-11,2025-07-11,0.117025,0.007123,0.067266,0.045263,0.004629,0.107104,4.019510,1.711070,-0.039839,0.062999,0.004696,6,10,2025-06-26,2025-07-11,2025-05-07,2025-06-21,1752192000000,1752232262000,1750896000000,1752192000000,1746576000000,1750464000000,2025-07-11
2025-07-17,2025-07-21,0.146926,0.009532,0.074563,0.047078,0.003668,0.084495,5.077849,4.202526,-0.009932,0.046162,0.003701,4,10,2025-07-06,2025-07-21,2025-05-17,2025-07-01,1753056000000,1752750725000,1751760000000,1753056000000,1747440000000,1751328000000,2025-07-17
2025-07-29,2025-07-31,0.132597,0.013458,0.117145,0.065069,0.004352,0.074367,3.169408,5.154056,0.042778,0.056985,0.006096,5,12,2025-07-16,2025-07-31,2025-05-27,2025-07-11,1753920000000,1753787525000,1752624000000,1753920000000,1748304000000,1752192000000,2025-07-29
2025-08-10,2025-08-10,0.053018,0.014746,0.301662,0.097021,0.005995,0.067698,-2.571612,4.155733,0.233964,0.029874,0.006813,6,10,2025-07-26,2025-08-10,2025-06-06,2025-07-21,1754784000000,1754824325000,1753488000000,1754784000000,1749168000000,1753056000000,2025-08-10
2025-08-16,2025-08-20,0.082885,0.017648,0.229012,0.104114,0.008067,0.085498,-0.943887,3.415437,0.143513,0.056553,0.008928,5,14,2025-08-05,2025-08-20,2025-06-16,2025-07-31,1755648000000,1755342664000,1754352000000,1755648000000,1750032000000,1753920000000,2025-08-16
2025-08-28,2025-08-30,0.107882,0.018064,0.181832,0.089714,0.010847,0.129194,0.783375,2.121821,0.052638,0.047657,0.008345,8,16,2025-08-15,2025-08-30,2025-06-26,2025-08-10,1756512000000,1756379464000,1755216000000,1756512000000,1750896000000,1754784000000,2025-08-28
2025-09-09,2025-09-09,0.073865,0.011431,0.191759,0.100005,0.013553,0.146155,-1.895330,-1.128537,0.045604,0.042819,0.006722,7,16,2025-08-25,2025-09-09,2025-07-06,2025-08-20,1757376000000,1757416265000,1756080000000,1757376000000,1751760000000,1755648000000,2025-09-09
2025-09-15,2025-09-19,0.073892,0.010510,0.172604,0.091316,0.015076,0.175516,-1.820110,-2.375449,-0.002912,0.035725,0.004241,5,18,2025-09-04,2025-09-19,2025-07-16,2025-08-30,1758240000000,1757934725000,1756944000000,1758240000000,1752624000000,1756512000000,2025-09-15
2025-09-27,2025-09-29,0.065677,0.009682,0.165567,0.077448,0.014694,0.206578,-1.192587,-2.706718,-0.041011,0.034970,0.004433,7,18,2025-09-14,2025-09-29,2025-07-26,2025-09-09,1759104000000,1758971525000,1757808000000,1759104000000,1753488000000,1757376000000,2025-09-27
2025-10-09,2025-10-09,0.086484,0.010028,0.177785,0.080636,0.013584,0.191176,-0.062356,-1.956687,-0.013390,0.057226,0.005640,7,16,2025-09-24,2025-10-09,2025-08-05,2025-09-19,1759968000000,1760008326000,1758672000000,1759968000000,1754352000000,1758240000000,2025-10-09
2025-10-15,2025-10-19,0.111408,0.012799,0.222787,0.077375,0.011173,0.155930,0.541809,0.636204,0.066857,0.041746,0.005043,5,19,2025-10-04,2025-10-19,2025-08-15,2025-09-29,1760832000000,1760526665000,1759536000000,1760832000000,1755216000000,1759104000000,2025-10-15
2025-10-21,2025-10-20,0.106653,0.012935,0.220970,0.074940,0.010746,0.155350,0.699707,0.926124,0.065620,0.045206,0.005480,6,18,2025-10-05,2025-10-20,2025-08-16,2025-09-30,1760918400000,1761000329000,1759622400000,1760918400000,1755302400000,1759190400000,2025-10-21
