date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-29 07:00:00,2025-05-29,0.174881,0.021859,0.152361,0.054648,0.011796,0.223519,4.767551,2.419278,-0.071250,0.000000,0.000000,2,11,2025-05-14,2025-05-29,2025-03-25,2025-05-09,1748476800000,1747180800000,1748476800000,1742860800000,1746748800000
2025-06-08 07:00:00,2025-06-08,0.049582,0.006577,0.148989,0.057691,0.012269,0.220769,-1.200737,-3.470640,-0.071780,0.063608,0.007988,5,12,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.040089,0.004378,0.121008,0.067796,0.013653,0.213372,-2.753534,-5.488188,-0.092365,0.018487,0.002341,6,11,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.050166,0.004599,0.112476,0.067041,0.012667,0.200131,-2.042004,-5.059977,-0.087656,0.027086,0.002459,4,12,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.091595,0.008106,0.103399,0.062089,0.009837,0.169394,1.128053,-1.483570,-0.065995,0.043402,0.005618,4,13,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.112331,0.009410,0.094122,0.050435,0.005319,0.116862,3.247619,2.296945,-0.022740,0.044627,0.005525,5,9,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.129046,0.012009,0.105264,0.061750,0.005912,0.105296,3.258811,3.010046,-0.000032,0.044308,0.004566,4,12,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.097086,0.016310,0.189432,0.068979,0.005800,0.095069,1.668928,4.655594,0.094363,0.044028,0.007038,6,14,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.080724,0.015540,0.214496,0.090803,0.007720,0.092045,-0.373650,3.268044,0.122451,0.056838,0.007421,8,14,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.136451,0.015538,0.131778,0.097638,0.010780,0.116075,1.385641,1.590229,0.015703,0.053821,0.006629,6,15,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.131367,0.015379,0.135378,0.100388,0.012833,0.135399,1.044233,0.761510,-0.000020,0.049200,0.006352,5,17,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.109737,0.014074,0.153199,0.106065,0.014371,0.146556,-0.209360,-0.305791,0.006644,0.051011,0.006217,6,16,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-18 07:00:00,2025-09-18,0.109737,0.014074,0.153199,0.106806,0.014524,0.146631,-0.248326,-0.367932,0.006568,0.051011,0.006217,6,18,2025-09-03,2025-09-18,2025-07-15,2025-08-29,1758153600000,1756857600000,1758153600000,1752537600000,1756425600000
