date,VV_Event,VH_Event,VV_Base,VH_Base,VV_Change,VH_Change,image_count
2025-06-02,-13.730664674491992,-17.215169217581575,-10.592619427665468,-15.89999179090673,-3.1380452468265236,-1.315177426674845,5
2025-06-12,-9.387976361616168,-16.253227453432597,-9.880677511480108,-16.799524330664298,0.4927011498639402,0.5462968772317005,3
2025-06-22,-11.341497615675374,-11.916229586552996,-11.837878450921075,-12.417789492932693,0.4963808352457004,0.5015599063796969,6
2025-07-02,-17.172864691855693,-20.48263214904631,-12.635812145342278,-17.629957270873163,-4.537052546513415,-2.852674878173147,2
2025-07-12,-11.927165721531976,-16.15419297303419,-11.781433653151138,-15.746405369004634,-0.14573206838083763,-0.4077876040295543,6
2025-07-22,-10.73963368997337,-18.65793054165215,-10.603561914567537,-19.53005114999357,-0.13607177540583315,0.8721206083414224,2
2025-08-01,-14.38427193346811,-20.519087926247558,-13.857554239662255,-21.08360295788226,-0.5267176938058551,0.5645150316347021,6
2025-08-11,-12.805352095399517,-15.965822411877005,-12.866576578930841,-15.862602262981564,0.06122448353132448,-0.10322014889544029,6
2025-08-21,-12.185094921638226,-19.724171176879967,-11.062007058175476,-18.2396325604316,-1.1230878634627501,-1.4845386164483685,1
2025-08-31,-9.504163286487708,-16.74848174918278,-9.368002193505475,-16.854134965628024,-0.136161092982233,0.10565321644524417,1
2025-09-10,-11.956701485663283,-15.259468828165883,-11.339499105011921,-16.76177960607465,-0.6172023806513618,1.502310777908768,7
2025-09-20,-11.56821260705063,-16.592451516564932,-11.333674883520326,-18.601828152931514,-0.23453772353030367,2.009376636366582,4
2025-09-30,-11.483851464322484,-16.482549983728383,-12.080303949748592,-15.54999694794023,0.5964524854261075,-0.9325530357881533,1
