date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-21 07:00:00,2025-05-21,0.075426,0.012730,0.186354,0.058162,0.013256,0.233057,0.982008,-0.426744,-0.046703,0.033886,0.006613,4,11,2025-05-06,2025-05-21,2025-03-17,2025-05-01,1747785600000,1746489600000,1747785600000,1742169600000,1746057600000
2025-05-31 07:00:00,2025-05-31,0.140715,0.016781,0.143252,0.061085,0.013176,0.221641,3.196134,0.389832,-0.078345,0.000000,0.000000,2,12,2025-05-16,2025-05-31,2025-03-27,2025-05-11,1748649600000,1747353600000,1748649600000,1743033600000,1746921600000
2025-06-10 07:00:00,2025-06-10,0.059955,0.007036,0.131813,0.065029,0.013098,0.208499,-1.135220,-3.783592,-0.076686,0.016044,0.002064,3,11,2025-05-26,2025-06-10,2025-04-06,2025-05-21,1749513600000,1748217600000,1749513600000,1743897600000,1747785600000
2025-06-20 07:00:00,2025-06-20,0.055688,0.005437,0.113094,0.068749,0.012989,0.198004,-1.569688,-4.640667,-0.084910,0.024963,0.002685,5,11,2025-06-05,2025-06-20,2025-04-16,2025-05-31,1750377600000,1749081600000,1750377600000,1744761600000,1748649600000
2025-06-30 07:00:00,2025-06-30,0.069501,0.005876,0.094686,0.076780,0.012265,0.169772,-0.902525,-3.740976,-0.075086,0.034168,0.002910,6,11,2025-06-15,2025-06-30,2025-04-26,2025-06-10,1751241600000,1749945600000,1751241600000,1745625600000,1749513600000
2025-07-10 07:00:00,2025-07-10,0.103423,0.009072,0.098505,0.066119,0.008488,0.136059,1.693080,0.072703,-0.037554,0.047677,0.004900,5,12,2025-06-25,2025-07-10,2025-05-06,2025-06-20,1752105600000,1750809600000,1752105600000,1746489600000,1750377600000
2025-07-20 07:00:00,2025-07-20,0.125434,0.011189,0.101937,0.065739,0.006220,0.102824,2.809050,2.640151,-0.000887,0.045742,0.004828,5,11,2025-07-05,2025-07-20,2025-05-16,2025-06-30,1752969600000,1751673600000,1752969600000,1747353600000,1751241600000
2025-07-30 07:00:00,2025-07-30,0.123731,0.015011,0.138112,0.071679,0.006658,0.099465,2.459657,3.744619,0.038647,0.047017,0.006302,5,11,2025-07-15,2025-07-30,2025-05-26,2025-07-10,1753833600000,1752537600000,1753833600000,1748217600000,1752105600000
2025-08-09 07:00:00,2025-08-09,0.076228,0.018612,0.276356,0.087122,0.007501,0.093750,-0.590683,4.259413,0.182607,0.035854,0.007101,5,13,2025-07-25,2025-08-09,2025-06-05,2025-07-20,1754697600000,1753401600000,1754697600000,1749081600000,1752969600000
2025-08-19 07:00:00,2025-08-19,0.083952,0.017195,0.232163,0.099226,0.009703,0.104840,-0.841528,2.621173,0.127324,0.055107,0.008254,7,15,2025-08-04,2025-08-19,2025-06-15,2025-07-30,1755561600000,1754265600000,1755561600000,1749945600000,1753833600000
2025-08-29 07:00:00,2025-08-29,0.123154,0.016777,0.154988,0.096727,0.012548,0.136979,0.928843,1.240248,0.018009,0.053966,0.007904,8,16,2025-08-14,2025-08-29,2025-06-25,2025-08-09,1756425600000,1755129600000,1756425600000,1750809600000,1754697600000
2025-09-08 07:00:00,2025-09-08,0.106803,0.015561,0.171253,0.102597,0.014379,0.149509,-0.122344,0.207479,0.021745,0.044978,0.006872,5,17,2025-08-24,2025-09-08,2025-07-05,2025-08-19,1757289600000,1755993600000,1757289600000,1751673600000,1755561600000
2025-09-10 07:00:00,2025-09-10,0.103049,0.014496,0.166410,0.102189,0.014673,0.153790,-0.316498,-0.267015,0.012620,0.045713,0.007058,7,17,2025-08-26,2025-09-10,2025-07-07,2025-08-21,1757462400000,1756166400000,1757462400000,1751846400000,1755734400000
